timestamp,name,host,method,avg_ms,min_ms,max_ms,rtts,sent,received,packet_loss_pct,http_status,error
2025-09-26T05:34:45.274433Z,Google DNS,8.8.8.8,icmp,101.75,70.0,175.0,"[70, 80, 175, 82]",4,4,0.0,,
2025-09-26T05:34:48.418537Z,Google WWW,www.google.com,http,1034.901799997897,36.0,83.0,"[76, 83, 36, 54]",4,4,0.0,200,
2025-09-26T05:34:52.557296Z,Azure,azure.microsoft.com,http,1595.3035999991698,29.0,80.0,"[80, 29, 42, 43]",4,4,0.0,200,
2025-09-26T05:34:57.250797Z,AWS,aws.amazon.com,http,992.6334000047063,28.0,48.0,"[29, 28, 48, 45]",4,4,0.0,200,
2025-09-26T05:58:06.839381Z,Google DNS,8.8.8.8,icmp,136.0,91.0,165.0,"[165, 135, 153, 91]",4,4,0.0,,
2025-09-26T05:58:10.021117Z,Google,www.google.com,http,1115.5341999983648,83.0,159.0,"[159, 86, 83, 113]",4,4,0.0,200,
2025-09-26T05:58:14.314467Z,Yahoo,www.yahoo.com,http,703.887499999837,78.0,224.0,"[88, 78, 224, 108]",4,4,0.0,429,
2025-09-26T05:58:18.182907Z,Bing,www.bing.com,http,1867.8606000030413,65.0,174.0,"[174, 65, 108, 95]",4,4,0.0,200,
2025-09-26T05:58:23.195154Z,Cloudflare DNS,1.1.1.1,icmp,80.75,45.0,123.0,"[95, 45, 123, 60]",4,4,0.0,,
2025-09-26T05:59:06.838516Z,Google DNS,8.8.8.8,icmp,101.5,42.0,199.0,"[70, 199, 95, 42]",4,4,0.0,,
2025-09-26T05:59:09.927041Z,Google,www.google.com,http,1004.825099997106,87.0,190.0,"[190, 87, 90, 112]",4,4,0.0,200,
2025-09-26T05:59:14.103123Z,Yahoo,www.yahoo.com,http,1015.9604000073159,81.0,242.0,"[81, 109, 242, 119]",4,4,0.0,429,
2025-09-26T05:59:18.306035Z,Bing,www.bing.com,http,1511.6838000103598,107.0,250.0,"[107, 111, 143, 250]",4,4,0.0,200,
2025-09-26T05:59:23.335539Z,Cloudflare DNS,1.1.1.1,icmp,122.75,88.0,168.0,"[168, 88, 100, 135]",4,4,0.0,,
2025-09-26T06:00:06.839612Z,Google DNS,8.8.8.8,icmp,110.5,42.0,187.0,"[187, 116, 97, 42]",4,4,0.0,,
2025-09-26T06:00:09.937511Z,Google,www.google.com,http,1206.648999999743,76.0,172.0,"[172, 76, 116, 95]",4,4,0.0,200,
2025-09-26T06:00:14.298797Z,Yahoo,www.yahoo.com,http,822.4554000044009,38.0,346.0,"[305, 346, 38, 56]",4,4,0.0,429,
2025-09-26T06:00:18.227248Z,Bing,www.bing.com,http,1104.4554999971297,53.0,148.0,"[97, 53, 148, 76]",4,4,0.0,200,
2025-09-26T06:00:22.541484Z,Cloudflare DNS,1.1.1.1,icmp,128.25,73.0,273.0,"[73, 273, 76, 91]",4,4,0.0,,
2025-09-26T06:01:06.839776Z,Google DNS,8.8.8.8,icmp,106.0,79.0,131.0,"[79, 92, 131, 122]",4,4,0.0,,
2025-09-26T06:01:10.005566Z,Google,www.google.com,http,1126.66559999343,38.0,100.0,"[100, 99, 38, 72]",4,4,0.0,200,
2025-09-26T06:01:14.258246Z,Yahoo,www.yahoo.com,http,768.7060000025667,36.0,143.0,"[98, 36, 138, 143]",4,4,0.0,429,
2025-09-26T06:01:18.223266Z,Bing,www.bing.com,http,1204.1810000082478,62.0,103.0,"[85, 103, 62, 67]",4,4,0.0,200,
2025-09-26T06:01:22.543568Z,Cloudflare DNS,1.1.1.1,icmp,155.5,76.0,273.0,"[190, 273, 76, 83]",4,4,0.0,,
2025-09-26T06:02:06.840056Z,Google DNS,8.8.8.8,icmp,187.25,70.0,347.0,"[112, 220, 347, 70]",4,4,0.0,,
2025-09-26T06:02:09.951989Z,Google,www.google.com,http,1279.047999996692,71.0,227.0,"[122, 227, 71, 79]",4,4,0.0,200,
2025-09-26T06:02:14.350729Z,Yahoo,www.yahoo.com,http,1487.6994999940507,142.0,343.0,"[343, 142, 161, 163]",4,4,0.0,429,
2025-09-26T06:02:19.055380Z,Bing,www.bing.com,http,1302.1859000000404,63.0,119.0,"[82, 96, 119, 63]",4,4,0.0,200,
2025-09-26T06:02:23.480438Z,Cloudflare DNS,1.1.1.1,icmp,76.5,58.0,97.0,"[75, 76, 58, 97]",4,4,0.0,,
2025-09-26T06:03:06.840001Z,Google DNS,8.8.8.8,icmp,82.25,45.0,128.0,"[91, 45, 128, 65]",4,4,0.0,,
2025-09-26T06:03:09.948447Z,Google,www.google.com,http,1101.8408000090858,49.0,112.0,"[79, 89, 112, 49]",4,4,0.0,200,
2025-09-26T06:03:14.161999Z,Yahoo,www.yahoo.com,http,661.4549999940209,28.0,39.0,"[28, 28, 34, 39]",4,4,0.0,429,
2025-09-26T06:03:17.932422Z,Bing,www.bing.com,http,,53.0,98.0,"[87, 98, 53, 54]",4,4,0.0,,"HTTPSConnectionPool(host='www.bing.com', port=443): Read timed out. (read timeout=3)"
2025-09-26T06:03:24.497220Z,Cloudflare DNS,1.1.1.1,icmp,77.75,59.0,92.0,"[59, 77, 83, 92]",4,4,0.0,,
2025-09-26T06:04:06.840237Z,Google DNS,8.8.8.8,icmp,110.75,60.0,168.0,"[110, 105, 60, 168]",4,4,0.0,,
2025-09-26T06:04:10.051213Z,Google,www.google.com,http,1308.4388999996008,52.0,190.0,"[190, 98, 141, 52]",4,4,0.0,200,
2025-09-26T06:04:14.473747Z,Yahoo,www.yahoo.com,http,4349.902099987958,24.0,195.0,"[87, 195, 27, 24]",4,4,0.0,429,
2025-09-26T06:04:22.033576Z,Bing,www.bing.com,http,691.7568999924697,47.0,92.0,"[79, 92, 47, 56]",4,4,0.0,200,
2025-09-26T06:04:25.846352Z,Cloudflare DNS,1.1.1.1,icmp,79.0,63.0,93.0,"[72, 93, 63, 88]",4,4,0.0,,
2025-09-26T06:05:06.841447Z,Google DNS,8.8.8.8,icmp,54.0,43.0,70.0,"[43, 43, 60, 70]",4,4,0.0,,
2025-09-26T06:05:09.968911Z,Google,www.google.com,http,1390.4709000053117,52.0,98.0,"[98, 52, 64, 78]",4,4,0.0,200,
2025-09-26T06:05:14.484562Z,Yahoo,www.yahoo.com,http,882.6537999993889,28.0,81.0,"[74, 81, 28, 38]",4,4,0.0,429,
2025-09-26T06:05:18.482345Z,Bing,www.bing.com,http,1293.3180000109132,78.0,96.0,"[78, 86, 84, 96]",4,4,0.0,200,
2025-09-26T06:05:22.951298Z,Cloudflare DNS,1.1.1.1,icmp,103.5,87.0,138.0,"[87, 87, 102, 138]",4,4,0.0,,
2025-09-26T06:06:06.840937Z,Google DNS,8.8.8.8,icmp,73.5,53.0,120.0,"[120, 53, 54, 67]",4,4,0.0,,
2025-09-26T06:06:09.961705Z,Google,www.google.com,http,1139.3862000113586,67.0,92.0,"[67, 92, 85, 83]",4,4,0.0,200,
2025-09-26T06:06:14.245202Z,Yahoo,www.yahoo.com,http,815.237500006333,12.0,22.0,"[12, 12, 14, 22]",4,4,0.0,429,
2025-09-26T06:06:18.143703Z,Bing,www.bing.com,http,1000.4169000021648,52.0,114.0,"[93, 92, 114, 52]",4,4,0.0,200,
2025-09-26T06:06:22.272136Z,Cloudflare DNS,1.1.1.1,icmp,75.5,68.0,85.0,"[72, 85, 68, 77]",4,4,0.0,,
2025-09-26T06:07:06.841006Z,Google DNS,8.8.8.8,icmp,84.0,60.0,129.0,"[129, 60, 72, 75]",4,4,0.0,,
2025-09-26T06:09:41.636026Z,Google DNS,8.8.8.8,icmp,94.5,68.0,148.0,"[148, 81, 68, 81]",4,4,0.0,,
2025-09-26T06:09:44.778023Z,Google,www.google.com,http,950.0783999974374,25.0,84.0,"[70, 60, 84, 25]",4,4,0.0,200,
2025-09-26T06:09:48.816140Z,Yahoo,www.yahoo.com,http,774.3106999987504,40.0,89.0,"[86, 89, 40, 48]",4,4,0.0,429,
2025-09-26T06:09:52.701161Z,Bing,www.bing.com,http,872.2557000000961,83.0,128.0,"[89, 108, 128, 83]",4,4,0.0,200,
2025-09-26T06:09:56.705271Z,Cloudflare DNS,1.1.1.1,icmp,70.75,51.0,82.0,"[71, 51, 82, 79]",4,4,0.0,,
2025-09-26T06:10:41.637818Z,Google DNS,8.8.8.8,icmp,66.0,42.0,84.0,"[57, 81, 84, 42]",4,4,0.0,,
2025-09-26T06:10:44.727916Z,Google,www.google.com,http,907.1287999977358,67.0,88.0,"[80, 67, 76, 88]",4,4,0.0,200,
